Time (s), Reactivity ($)
0.00000000E+00,  0.00000000E+00 
4.00000000E-02,  2.00000000E-02 
8.00000000E-02,  4.00000000E-02 
1.20000000E-01,  6.00000000E-02 
1.60000000E-01,  8.00000000E-02 
2.00000000E-01,  1.00000000E-01 
2.40000000E-01,  1.20000000E-01 
2.80000000E-01,  1.40000000E-01 
3.20000000E-01,  1.60000000E-01 
3.60000000E-01,  1.80000000E-01 
4.00000000E-01,  2.00000000E-01 
4.40000000E-01,  2.20000000E-01 
4.80000000E-01,  2.40000000E-01 
5.20000000E-01,  2.60000000E-01 
5.60000000E-01,  2.80000000E-01 
6.00000000E-01,  3.00000000E-01 
6.40000000E-01,  3.20000000E-01 
6.80000000E-01,  3.40000000E-01 
7.20000000E-01,  3.60000000E-01 
7.60000000E-01,  3.80000000E-01 
8.00000000E-01,  4.00000000E-01 
8.40000000E-01,  4.20000000E-01 
8.80000000E-01,  4.40000000E-01 
9.20000000E-01,  4.60000000E-01 
9.60000000E-01,  4.80000000E-01 
1.00000000E+00,  5.00000000E-01 
1.04000000E+00,  4.96000000E-01 
1.08000000E+00,  4.92000000E-01 
1.12000000E+00,  4.88000000E-01 
1.16000000E+00,  4.84000000E-01 
1.20000000E+00,  4.80000000E-01 
1.24000000E+00,  4.76000000E-01 
1.28000000E+00,  4.72000000E-01 
1.32000000E+00,  4.68000000E-01 
1.36000000E+00,  4.64000000E-01 
1.40000000E+00,  4.60000000E-01 
1.44000000E+00,  4.56000000E-01 
1.48000000E+00,  4.52000000E-01 
1.52000000E+00,  4.48000000E-01 
1.56000000E+00,  4.44000000E-01 
1.60000000E+00,  4.40000000E-01 
1.64000000E+00,  4.36000000E-01 
1.68000000E+00,  4.32000000E-01 
1.72000000E+00,  4.28000000E-01 
1.76000000E+00,  4.24000000E-01 
1.80000000E+00,  4.20000000E-01 
1.84000000E+00,  4.16000000E-01 
1.88000000E+00,  4.12000000E-01 
1.92000000E+00,  4.08000000E-01 
1.96000000E+00,  4.04000000E-01 
2.00000000E+00,  4.00000000E-01 
2.04000000E+00,  3.96000000E-01 
2.08000000E+00,  3.92000000E-01 
2.12000000E+00,  3.88000000E-01 
2.16000000E+00,  3.84000000E-01 
2.20000000E+00,  3.80000000E-01 
2.24000000E+00,  3.76000000E-01 
2.28000000E+00,  3.72000000E-01 
2.32000000E+00,  3.68000000E-01 
2.36000000E+00,  3.64000000E-01 
2.40000000E+00,  3.60000000E-01 
2.44000000E+00,  3.56000000E-01 
2.48000000E+00,  3.52000000E-01 
2.52000000E+00,  3.48000000E-01 
2.56000000E+00,  3.44000000E-01 
2.60000000E+00,  3.40000000E-01 
2.64000000E+00,  3.36000000E-01 
2.68000000E+00,  3.32000000E-01 
2.72000000E+00,  3.28000000E-01 
2.76000000E+00,  3.24000000E-01 
2.80000000E+00,  3.20000000E-01 
2.84000000E+00,  3.16000000E-01 
2.88000000E+00,  3.12000000E-01 
2.92000000E+00,  3.08000000E-01 
2.96000000E+00,  3.04000000E-01 
3.00000000E+00,  3.00000000E-01 
3.04000000E+00,  2.96000000E-01 
3.08000000E+00,  2.92000000E-01 
3.12000000E+00,  2.88000000E-01 
3.16000000E+00,  2.84000000E-01 
3.20000000E+00,  2.80000000E-01 
3.24000000E+00,  2.76000000E-01 
3.28000000E+00,  2.72000000E-01 
3.32000000E+00,  2.68000000E-01 
3.36000000E+00,  2.64000000E-01 
3.40000000E+00,  2.60000000E-01 
3.44000000E+00,  2.56000000E-01 
3.48000000E+00,  2.52000000E-01 
3.52000000E+00,  2.48000000E-01 
3.56000000E+00,  2.44000000E-01 
3.60000000E+00,  2.40000000E-01 
3.64000000E+00,  2.36000000E-01 
3.68000000E+00,  2.32000000E-01 
3.72000000E+00,  2.28000000E-01 
3.76000000E+00,  2.24000000E-01 
3.80000000E+00,  2.20000000E-01 
3.84000000E+00,  2.16000000E-01 
3.88000000E+00,  2.12000000E-01 
3.92000000E+00,  2.08000000E-01 
3.96000000E+00,  2.04000000E-01 
4.00000000E+00,  2.00000000E-01 
4.04000000E+00,  1.96000000E-01 
4.08000000E+00,  1.92000000E-01 
4.12000000E+00,  1.88000000E-01 
4.16000000E+00,  1.84000000E-01 
4.20000000E+00,  1.80000000E-01 
4.24000000E+00,  1.76000000E-01 
4.28000000E+00,  1.72000000E-01 
4.32000000E+00,  1.68000000E-01 
4.36000000E+00,  1.64000000E-01 
4.40000000E+00,  1.60000000E-01 
4.44000000E+00,  1.56000000E-01 
4.48000000E+00,  1.52000000E-01 
4.52000000E+00,  1.48000000E-01 
4.56000000E+00,  1.44000000E-01 
4.60000000E+00,  1.40000000E-01 
4.64000000E+00,  1.36000000E-01 
4.68000000E+00,  1.32000000E-01 
4.72000000E+00,  1.28000000E-01 
4.76000000E+00,  1.24000000E-01 
4.80000000E+00,  1.20000000E-01 
4.84000000E+00,  1.16000000E-01 
4.88000000E+00,  1.12000000E-01 
4.92000000E+00,  1.08000000E-01 
4.96000000E+00,  1.04000000E-01 
5.00000000E+00,  1.00000000E-01 
5.04000000E+00,  9.60000000E-02 
5.08000000E+00,  9.20000000E-02 
5.12000000E+00,  8.80000000E-02 
5.16000000E+00,  8.40000000E-02 
5.20000000E+00,  8.00000000E-02 
5.24000000E+00,  7.60000000E-02 
5.28000000E+00,  7.20000000E-02 
5.32000000E+00,  6.80000000E-02 
5.36000000E+00,  6.40000000E-02 
5.40000000E+00,  6.00000000E-02 
5.44000000E+00,  5.60000000E-02 
5.48000000E+00,  5.20000000E-02 
5.52000000E+00,  4.80000000E-02 
5.56000000E+00,  4.40000000E-02 
5.60000000E+00,  4.00000000E-02 
5.64000000E+00,  3.60000000E-02 
5.68000000E+00,  3.20000000E-02 
5.72000000E+00,  2.80000000E-02 
5.76000000E+00,  2.40000000E-02 
5.80000000E+00,  2.00000000E-02 
5.84000000E+00,  1.60000000E-02 
5.88000000E+00,  1.20000000E-02 
5.92000000E+00,  8.00000000E-03 
5.96000000E+00,  4.00000000E-03 
6.00000000E+00,  -4.85722573E-17 
